Epoch,Train Loss,Top-1 Acc,Top-5 Acc
1,5.746290147304535,0.0,0.0
2,2.5113588690757753,0.0,0.0
3,0.8460611596703529,0.0,0.0
4,0.27731051072478297,0.0,0.0
5,0.06231792233884335,0.0,0.0
6,0.026716489205136897,0.0,0.0
7,0.017796907760202884,0.0,0.0
8,0.012212587799876929,0.0,0.0
9,0.009084079903550446,0.0,0.0
10,0.007048095692880452,0.0,0.0
